"full_name","state","edu_med","edu_law","edu_masters","edu_doctorate","work_bluecollar","work_business","work_education","work_farming","work_lawenforcement","work_lobbying","work_media","work_medicine","work_military","work_nonprofits","work_privatelaw","work_realestate","work_religiousleader","work_science","work_sports","gov_fedstate","gov_local","gov_none","gov_publiclawyerjudge","gov_stateleg","new","gender","party","college_none","college_public","college_private","college_elite"
"Greg Stanton","AZ","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,NA,"Democrat",0,0,1,0
"Greg Steube","FL","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Greg Walden","OR","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Gregory W. Meeks","NY","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"M","Democrat",0,0,1,0
"Gus M. Bilirakis","FL","",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Guy Reschenthaler","PA","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,NA,"Republican",0,1,0,0
"Gwen Moore","WI","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,0,1,0
"Hakeem Jeffries","NY","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Haley Stevens","MI","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Hank Johnson","GA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,NA,"Democrat",0,0,1,0
"Harley Rouda","CA","",1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Harold Rogers","KY","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,1,0,0
"Henry Cuellar","TX","",1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,"M","Democrat",0,0,1,0
"Ilhan Omar","MN","",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,"Democrat",0,1,0,0
"Jack Bergman","MI","",0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"M","Republican",0,0,1,0
"Jackie Speier","CA","",1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,1,0,0
"Jackie Walorski","IN","",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"F","Republican",0,0,1,0
"Jahana Hayes","CT","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Jaime Herrera Beutler","WA","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Republican",0,1,0,0
"James Comer","KY","",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"M","Republican",0,1,0,0
"James E. Clyburn","SC","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"M","Democrat",0,1,0,0
"Jamie Raskin","MD","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"M","Democrat",0,0,0,1
"Jan Schakowsky","IL","",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Jared Golden","ME","",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,"Democrat",0,0,1,0
"Jared Huffman","CA","",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,1,0,0
"Jason Crow","CO","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Jason Smith","MO","",1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Jeff Duncan","SC","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Jeff Fortenberry","NE","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Jeff Van Drew","NJ","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,"Democrat",0,1,0,0
"Jennifer Wexton","VA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,NA,"Democrat",0,1,0,0
"Jerrold Nadler","NY","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,0,1
"Jerry McNerney","CA","",0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"M","Democrat",0,1,0,0
"Jésus Garcia","IL","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,NA,"Democrat",0,1,0,0
"Jim Baird","IN","",0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,NA,"Republican",0,1,0,0
"Jim Banks","IN","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Jim Cooper","TN","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,1,0,0
"Jim Costa","CA","",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Jim Hagedorn","MN","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,0,1,0
"Jim Himes","CT","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,0,1
"Jim Jordan","OH","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Jim Langevin","RI","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"M","Democrat",0,1,0,0
"Jim McGovern","MA","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,1,0
"Jim Sensenbrenner","WI","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,0,0,1
"Jimmy Gomez","CA","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,"Democrat",0,1,0,0
"Jimmy Panetta","CA","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"M","Democrat",0,1,0,0
"Joaquin Castro","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,0,1
"Jodey C. Arrington","TX","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Jody B. Hice","GA","",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Joe Courtney","CT","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,1,0
"Joe Cunningham","SC","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Joe Neguse","CO","",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,NA,"Democrat",0,1,0,0
"Joe Wilson","SC","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,"M","Republican",0,0,1,0
"John Carter","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,1,0,0
"John Garamendi","CA","",0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,"M","Democrat",0,1,0,0
"John Joyce","PA","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,1,0,0
"John Katko","NY","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,0,1,0
"John Larson","CT","",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,1,0,0
"John Lewis","GA","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
"John Moolenaar","MI","",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"M","Republican",0,0,1,0
"John R. Curtis","UT","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,NA,"Republican",0,0,1,0
"John Ratcliffe","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"M","Republican",0,0,1,0
"John Rose","TN","",1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"Republican",0,1,0,0
"John Rutherford","FL","",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"John Sarbanes","MD","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,0,1
"John Shimkus","IL","",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"John Yarmuth","KY","",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,0,1
"José E. Serrano","NY","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"M","Democrat",1,0,0,0
"Joseph Morelle","NY","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,NA,"Democrat",0,1,0,0
"Joseph P. Kennedy III","MA","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"M","Democrat",0,0,0,1
"Josh Gottheimer","NJ","",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,0,1
"Josh Harder","CA","",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,0,1
"Joyce Beatty","OH","",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,1,0,0
"Juan Vargas","CA","",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,0,1,0
"Judy Chu","CA","",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"F","Democrat",0,1,0,0
"Julia Brownley","CA","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,0,1,0
"Justin Amash","MI","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Karen Bass","CA","",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Katherine M. Clark","MA","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,"F","Democrat",0,0,1,0
"Kathleen M. Rice","NY","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"F","Democrat",0,0,1,0
"Kathy Castor","FL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,0,1,0
"Katie Hill","CA","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Katie Porter","CA","",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"Democrat",0,0,0,1
"Kay Granger","TX","",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"F","Republican",0,0,1,0
"Kelly Armstrong","ND","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Ken Buck","CO","",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,0,0,1
"Ken Calvert","CA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Kendra Horn","OK","",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Kenny Marchant","TX","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,"M","Republican",0,0,1,0
"Kevin Brady","TX","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Kevin Hern","OK","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,NA,"Republican",0,1,0,0
"Kevin McCarthy","CA","",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Kim Schrier","WA","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Kurt Schrader","OR","1",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,0,1
"Lance Gooden","TX","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Larry Bucshon","IN","1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Lauren Underwood","IL","",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Lee M. Zeldin","NY","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Linda T. Sánchez","CA","",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,1,0,0
"Lisa Blunt Rochester","DE","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"F","Democrat",0,0,1,0
"Liz Cheney","WY","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"F","Republican",0,0,1,0
"Lizzie Pannill Fletcher","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Lloyd Doggett","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"M","Democrat",0,1,0,0
"Lloyd Smucker","PA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",1,0,0,0
"Lois Frankel","FL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,"F","Democrat",0,0,1,0
"Lori Trahan","MA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,"Democrat",0,0,1,0
"Lou Correa","CA","",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,"M","Democrat",0,1,0,0
"Louie Gohmert","TX","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,1,0,0
"Lucille Roybal-Allard","CA","",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Lucy McBath","GA","",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,1,0,0
"Mac Thornberry","TX","",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"M","Republican",0,1,0,0
"Madeleine Dean","PA","",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,NA,"Democrat",0,0,1,0
"Marc Veasey","TX","",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"M","Democrat",0,0,1,0
"Marcia L. Fudge","OH","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,1,0,0
"Marcy Kaptur","OH","",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,1,0,0
"Mario Diaz-Balart","FL","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"M","Republican",1,0,0,0
"Mark Amodei","NV","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Mark DeSaulnier","CA","",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,0,1,0
"Mark Green","TN","1",0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,"Republican",0,1,0,0
"Mark Meadows","NC","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",1,0,0,0
"Mark Pocan","WI","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Democrat",0,1,0,0
"Mark Takano","CA","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,0,1
"Mark Walker","NC","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Markwayne Mullin","OK","",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",1,0,0,0
"Martha Roby","AL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"F","Republican",0,0,1,0
"Mary Gay Scanlon","PA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NA,"Democrat",0,0,1,0
"Matt Cartwright","PA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,0,1,0
"Matt Gaetz","FL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Max Rose","NY","",0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,1,0
"Maxine Waters","CA","",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,1,0,0
"Michael C. Burgess","TX","1",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Michael Cloud","TX","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,0,1,0
"Michael Guest","MS","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,"Republican",0,1,0,0
"Michael McCaul","TX","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"M","Republican",0,0,1,0
"Michael R. Turner","OH","",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,0,1,0
"Michael Waltz","FL","",0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,NA,"Republican",0,1,0,0
"Mike Bost","IL","",0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",1,0,0,0
"Mike Conaway","TX","",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,NA,"Republican",0,1,0,0
"Mike Doyle","PA","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,1,0,0
"Mike Gallagher","WI","",0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,0,1
"Mike Johnson","LA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,1,0,0
"Mike Kelly","PA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,0,1,0
"Mike Levin","CA","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,NA,"Democrat",0,0,0,1
"Mike Quigley","IL","",1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
"Mike Rogers","AL","",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,"M","Republican",0,1,0,0
"Mike Simpson","ID","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Mike Thompson","CA","",0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"M","Democrat",0,1,0,0
"Mikie Sherrill","NJ","",1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,NA,"Democrat",0,1,0,0
"Mo Brooks","AL","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,"M","Republican",0,0,0,1
"Morgan Griffith","VA","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,"M","Republican",0,0,1,0
"Nancy Pelosi","CA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"F","Democrat",0,0,1,0
"Nanette Diaz Barragán","CA","",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"F","Democrat",0,1,0,0
"Neal Dunn","FL","1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Nita Lowey","NY","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"F","Democrat",0,0,1,0
"Norma J. Torres","CA","",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"F","Democrat",0,0,1,0
"Nydia M. Velázquez","NY","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"F","Democrat",0,1,0,0
"Patrick T. McHenry","NC","",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,"M","Republican",0,0,1,0
"Paul Cook","CA","",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Paul Gosar","AZ","1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Paul Mitchell","MI","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Republican",0,1,0,0
"Paul Tonko","NY","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,"M","Democrat",0,0,1,0
"Pete Aguilar","CA","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"M","Democrat",0,0,1,0
"Pete Olson","TX","",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,0,1,0
"Pete Stauber","MN","",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,NA,"Republican",0,1,0,0
"Peter DeFazio","OR","",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
"Peter J. Visclosky","IN","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,1,0,0
"Peter T. King","NY","",1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,"M","Republican",0,0,1,0
"Peter Welch","VT","",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,"M","Democrat",0,0,1,0
"Phil Roe","TN","1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,NA,"Republican",0,1,0,0
"Pramila Jayapal","WA","",0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"F","Democrat",0,0,1,0
"Raja Krishnamoorthi","IL","",1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,"M","Democrat",0,0,0,1
"Ralph Abraham","LA","1",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,"M","Republican",0,1,0,0
"Ralph Norman","SC","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"M","Republican",0,0,1,0
"Randy Weber","TX","",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,"M","Republican",0,1,0,0
"Rashida Tlaib","MI","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,NA,"Democrat",0,1,0,0
"Raúl M. Grijalva","AZ","",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,1,0,0
"Raul Ruiz","CA","1",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"M","Democrat",0,1,0,0
"Richard E. Neal","MA","",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"M","Democrat",0,0,1,0
