last_name,first_name,full_name,party,state,edu_college,edu_med,edu_law,edu_masters,edu_doctorate,work_bluecollar,work_business,work_education,work_farming,work_lawenforcement,work_lobbying,work_media,work_medicine,work_military,work_nonprofits,work_privatelaw,work_realestate,work_religiousleader,work_science,work_sports,gov_fedstate,gov_local,gov_none,gov_publiclawyerjudge,gov_stateleg
DeSaulnier,Mark,Mark DeSaulnier,,CA,private,,,,,1,1,,,,,,,,,,,,,,,1,,,1
Green,Mark,Mark Green,Republican,TN,public,1,,1,,,1,,,,,,1,1,,,,,,,,,,,1
Meadows,Mark,Mark Meadows,,NC,none,,,,,,1,,,,,,,,,,,,,,,,1,,
Pocan,Mark,Mark Pocan,,WI,public,,,,,,1,,,,,,,,,,,,,,,1,,,1
Takano,Mark,Mark Takano,,CA,elite,,,1,,,,1,,,,,,,,,,,,,,1,,,
Walker,Mark,Mark Walker,,NC,private,,,,,,1,,,,,,,,,,,1,,,,,1,,
Mullin,Markwayne,Markwayne Mullin,,OK,none,,,,,,1,,1,,,,,,,,,,,,,,1,,
Roby,Martha ,Martha Roby,,AL,private,,1,,,,,,,,,,,,,1,,,,,,1,,,
Scanlon,Mary Gay,Mary Gay Scanlon,Democrat,PA,private,,1,,,,,,,,,,,,,1,,,,,,1,,,
Cartwright,Matt,Matt Cartwright,,PA,private,,1,,,,,,,,,,,,,1,,,,,,,1,,
Gaetz,Matt,Matt Gaetz,,FL,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Rose,Max,Max Rose,Democrat,NY,private,,,1,,,,,,,,,,1,1,,,,,,,,1,,
Waters,Maxine,Maxine Waters,,CA,public,,,,,1,,1,,,,,,,,,,,,,,,,,1
Burgess,Michael C.,Michael C. Burgess,,TX,public,1,,1,,,,,,,,,1,,,,,,,,,,1,,
Cloud,Michael,Michael Cloud,Republican,TX,private,,,,,,1,,,,,,,,,,,,,,,,1,,
Guest,Michael,Michael Guest,Republican,MS,public,,1,,,,,,,,,,,,,,,,,,,,,1,
McCaul,Michael,Michael McCaul,,TX,private,,1,,,,,,,,,,,,,1,,,,,,,,1,
Turner,Michael R.,Michael R. Turner,,OH,private,,1,1,,,,,,,,,,,,1,,,,,,1,,,
Waltz,Michael,Michael Waltz,Republican,FL,public,,,,,,,,,1,,1,,1,,,,,,,,,1,,
Bost,Mike,Mike Bost,,IL,none,,,,,1,1,,,,,,,1,,,,,,,,1,,,1
